Names,ShortName,RA,DEC,Designation,Adopted_SpT,Chisqr,Dwarf_Type,SNR,SPT_B06,SPT_C18,SPT_K10,SpT_simbad,References,Refs.,Parallax,Parallax_err,Parallax_ref,Jmag,Hmag,Kmag,AbsMag
WISE J003110.04+574936.3,J0031+5749,7.7918334,57.826748,J00311004+5749363,L9,5572.39,0,64,L9,L9,T0,L9,2013ApJ...777...84B,23,71,5,2020AJ....159..257B,14.95,13.78,13.22,14.21
SIPS J0031-3840,J0031-3840,7.8302083,-38.676556,J00311925-3840356,L1,15087.91,0,72,L1,L1,L1,L1.2V,2014ApJ...794..143B,2,43.888,0.801,2020yCat.1350....0G,14.1,13.4,12.92,12.31
2MASS J00320509+0219017,J0032+0219,8.0212088,2.3171389,J00320509+0219017,L1beta,15974.26,2,162,L1beta,L2beta,L2beta,L0.4V,2014ApJ...794..143B,2,41.334,0.314,2020yCat.1350....0G,14.32,13.39,12.8,12.41
2MASSI J0032431-223727,J0032-2237,8.1795006,-22.624222,J00324308-2237272,M8,9717.82,0,67,M8,L1,L1,M9.7:V,2014ApJ...794..143B,2,22.115,0.95,2020yCat.1350....0G,15.39,14.51,13.96,12.11
EROS-MP J0032-4405,J0032-4405,8.232667,-44.084942,J00325584-4405058,L1beta,24186.6,2,94,L1beta,L2,L0beta,L0.5V,1999A&A...351L...5E,24,28.954,0.422,2020yCat.1350....0G,14.78,13.86,13.27,12.08
SDSSp J003259.36+141036.6,J0032+1410,8.2473755,14.176972,J00325937+1410371,L9,4800.65,0,35,L9,T0,L9,L8V,2010ApJ...710.1142B,15,30.14,5.16,2012ApJ...752...56F,16.83,15.65,14.95,14.23
2MASS J00332386-1521309,J0033-1521,8.3494167,-15.358583,J00332386-1521309,L2,7855.74,0,72,L2,L1beta,L1beta,L4beta,2003AJ....125.3302G,25,43.509,0.809,2020yCat.1350....0G,15.29,14.21,13.41,13.48
WISEA J003338.45+282732.4,J0033+2827,8.410208333,28.4589,J00333870+2827351,d/sdL7,7851.29,-1,45,d/sdL7,d/sdL7,d/sdL7,L3,2016ApJ...817..112S,11,,,,15.89,14.99,14.8,
2MASSI J0034568-070601,J0034-0706,8.7368336,-7.1003609,J00345684-0706013,L6,3327.2,0,77,L6,L3,L3,L4.3V,2014ApJ...794..143B,2,55.83,12.26,2018MNRAS.481.3548S,15.53,14.57,13.94,14.27
LSPM J0035+3934,J0035+3934,8.9650412,39.579609,J00355161+3934466,sdM7,3875.93,-2,91,sdM7,sdM7,sdM7,,2016ApJS..224...36K,26,9.701,0.157,2020yCat.1350....0G,15.03,14.66,14.32,9.96
SDSS J003609.26+241343.3,J0036+2413,9.0385418,24.228724,J00360925+2413434,L8,167.62,0,5,L8,L6beta,L5,L6,2006AJ....131.2722C,7,,,,17.03,16.11,15.66,
SDSS J003843.99+134339.5,J0038+1343,9.6832085,13.727638,J00384397+13433950,L1,4392.79,0,65,L1,L1,L1,L0.6V,2014ApJ...794..143B,2,11.49,1.11,2020yCat.1350....0G,15.91,15.2,14.76,11.21
HD 3651B,J0039+2115,9.8295822,21.254444,J0039191+211516,T8,1555.83,0,5,T8,T8,T8,T7.5,2007ApJ...658..617B,27,90.03,0.72,2012ApJ...752...56F,,,,
WISE J004024.88+090054.8,J0040+0900,10.103666,9.0152225,J00402488+0900548,T7,2193.39,0,9,T7,T7,T7,T7,2013ApJS..205....6M,28,71.3,2.7,2020AJ....159..257B,16.5,16.54,15.74,15.77
SDSS J004154.54+134135.5,J0041+1341,10.477208,13.693084,J00415453+1341351,L1,3756.33,0,65,L1,L1,L1,L0.6V,2014ApJ...794..143B,2,32.568,0.308,2020yCat.1350....0G,14.45,13.67,13.24,12.02
2MASS J00435012+0928429,J0043+0928,10.95895833,9.477519444,J00435012+0928429,L2,1645.65,0,35,L2,L2,L2,L2,2017AJ....154..112K,10,,,,16.18,15.49,14.82,
2MASS J00440332+0228112,J0044+0228,11.01770833,2.472502778,J00440332+0228112,L2gamma,8078,1,33,L2gamma,L4gamma,L4gamma,L7,2017AJ....154..112K,10,,,,17,15.82,14.88,
WISE J00440339+0228106,J0044+0228,11.014125,2.469461111,J00440339+0228106,L2gamma,2586.12,1,21,L2gamma,L4gamma,L4gamma,L7,2017AJ....153..196S,29,,,,17,15.82,14.88,
2MASS J00451330+1228538,J0045+1228,11.305416,12.48161,J00451330+1228538,M9,1854.47,0,40,M9,M8,M9,M8.5,2010ApJS..190..100K,9,11.581,0.835,2020yCat.1350....0G,15.89,15.12,14.52,11.21
2MASSW J0045214+163445,J0045+1634,11.339292,16.579056,J00452143+1634446,L1gamma,6126.11,1,97,L1gamma,L1gamma,L1gamma,L2beta,2014ApJ...794..143B,2,65.406,0.175,2020yCat.1350....0G,13.06,12.06,11.37,12.14
2MASS J00452972+4237438,J0045+4237,11.38875,42.63834444,J00452972+4237438,L1beta,5233.59,2,30,L1beta,L1beta,L1beta,,2017AJ....154..112K,10,,,,17.06,15.99,15.3,
WISE J004542.56+361139.1,J0045+3611,11.427334,36.194195,J00454256+3611391,T5,7014.9,0,18,T5,T5,T5,T5,2013ApJS..205....6M,28,53.4,5.2,2020AJ....159..257B,16.14,16.04,15.8,14.78
2MASS J00464841+0715177,J0046+0715,11.701708,7.2549167,J00464841+0715177,M9gamma,13839.7,1,145,M9gamma,M9gamma,M9gamma,L0,2014ApJ...794..143B,2,26.474,0.254,2020yCat.1350....0G,13.88,13.18,12.55,11
WISEP J004701.06+680352.1,J0047+6803,11.754417,68.064476,J00470106+6803521,L6gamma,2177.86,1,64,L6gamma,L6gamma,L6gamma,L9pec,2012AJ....144...94G,30,82.3,1.8,2016ApJ...833...96L,15.6,13.97,13.05,15.18
WISE J004928.48+044059.9,J0049+0440,12.36775,4.6826386,J00492826+0440575,L9,4314.21,0,51,L9,L9,L9,L9,2011ApJS..197...19K,31,62.6,2.9,2020AJ....159..257B,15.85,14.67,14.17,14.84
WISE J004945.61+215120.0,J0049+2151,12.440042,21.855556,J00494561+2151200,T9,4504.44,0,5,T9,T9,T9,T8.5,2013ApJS..205....6M,28,140.4,2.1,2021ApJS..253....7K,15.77,15.15,15.14,16.51
2MASS J00501771+1012528,J0050+1012,12.57425,10.21391389,J00501771+1012528,L1gamma,3847.65,1,43,L1gamma,L1gamma,L2,L2.0,2017AJ....154..112K,10,1.568,0.092,2020yCat.1350....0G,15.07,14.39,14.24,6.05
2MASS J00501994-3322402,J0050-3322,12.583083,-33.377831,J00501994-3322402,T7,5244.31,0,8,T7,T7,T6,T7,2006ApJ...639.1095B,32,94.6,2.4,2014ApJ...796...39T,15.93,15.84,15.24,15.81
2MASSW J0051107-154417,J0051-1544,12.794916,-15.738028,J00511078-1544169,L6,8390.65,0,98,L6,L4,L6,L6,2010ApJ...710.1142B,15,29.813,1.258,2020yCat.1350....0G,15.28,14.16,13.47,12.65
2MASS J00512263-2251317,J0051-2251,12.84433333,-22.85863333,J00512264-2251318,M7gamma,26191.42,1,160,M7gamma,M7gamma,d/sdM8,M8,2016ApJ...817..112S,11,37.091,0.106,2020yCat.1350....0G,13.02,12.39,11.96,10.87
2MASS J00521232+0012172,J0052+0012,13.051333,0.20477778,J00521232+0012172,L2beta,2161.35,2,22,L2beta,L5,L5,L4.5,2008ApJ...676.1281M,33,,,,16.36,15.56,15.46,
NLTT 2914,J0052+1712,13.203584,17.212057,J00524886+1712434,esdM5,714.27,-3,18,esdM5,esdM5,M3,sdM5,2010ApJS..190..100K,9,5.348,0.193,2020yCat.1350....0G,15.78,15.31,15.13,9.43
2MASS J00531899-3631102,J0053-3631,13.329125,-36.519501,J00531899-3631102,L3,9025.67,0,109,L3,L3,L4,L4,2010ApJ...710.1142B,15,40.199,0.751,2020yCat.1350....0G,14.44,13.48,12.94,12.47
SDSSp J005406.55-003101.8,J0054-0031,13.52725,-0.51716667,J00540654-00310180,L1,1992.68,0,74,L1,L1,L2beta,L2.2V,2014ApJ...794..143B,2,20.063,1.002,2020yCat.1350....0G,15.73,14.89,14.38,12.24
2MASS J00550460-3052000,J0055-3052,13.769167,-30.866667,J00550460-3052000,M8,29815.54,0,256,M8,M8beta,M8beta,M7.2V,2014ApJ...794..143B,2,35.793,0.135,2020yCat.1350....0G,13.03,12.28,11.91,10.8
2MASS J00550564+0134365,J0055+0134,13.7735,1.5768055,J00550564+0134365,L4gamma,4525.81,1,52,L4gamma,L1gamma,L3beta,L2gamma,2016ApJS..225...10F,34,,,,16.44,15.27,14.44,
2MASS J00554279+1301043,J0055+1301,13.928292,13.01786,J00554279+1301043,M6gamma,1751.11,1,38,d/sdM5,sdM7,sdM7,dM7?,2010ApJS..190..100K,9,7.912,0.296,2020yCat.1350....0G,15.81,15.16,14.83,10.3
LHS 1166,J0055+2506,13.934084,25.106527,J00554418+2506235,sdM5,17313.1,-2,171,sdM5.5,sdM5.5,sdM6,sdM6,2014ApJ...794..143B,2,14.795,0.115,2020yCat.1350....0G,14.26,13.78,13.57,10.11
SDSS J00570556-0846241,J0057-0846,14.273166,-8.7733612,J00570556-0846241,M9gamma,5215.71,1,62,M9gamma,L1,L1,L0,2014ApJ...794..143B,2,12.318,1.288,2020yCat.1350....0G,15.7,14.92,14.36,11.15
2MASSW J0058425-065123,J0058-0651,14.677208,-6.8566389,J00584253-0651239,L2beta,9545.03,2,154,L2beta,L2beta,L2beta,L0V,2014ApJ...794..143B,2,34.537,0.282,2020yCat.1350....0G,14.31,13.44,12.9,12
2MASS J01001471-0301494,J0100-0301,15.06045833,-3.031666667,J01001471-0301494,L2beta,1489.83,2,31,L2beta,L2beta,L2beta,L1,2017AJ....154..112K,10,,,,16.32,15.67,14.95,
2MASS J01004911-1933398,J0100-1933,15.204625,-19.56085556,J01004911-1933398,d/sdM4,3852.7,-1,71,d/sdM4,d/sdM4,d/sdM4,M5.0,2009A&A...503..639T,35,16.237,0.077,2020yCat.1350....0G,13.49,13.02,12.76,9.54
LSPM J0101+3521,J0101+3521,15.363832,35.364693,J01012732+3521529,sdM7,2243.18,-2,64,sdM7,sdM7,sdM7,dM6.5,2005AJ....129.1483L,16,7.116,0.247,2020yCat.1350....0G,15.59,15.22,14.88,9.86
WISEA J010202.11+035541.4,J0102+0355,15.50879167,3.928066667,J01020186+0355405,L9,2331.85,0,19,L9,T0,T0,L9,2016ApJ...817..112S,11,40.2,2.8,2020AJ....159..257B,16.74,15.66,15.08,14.76
2MASS J01030790+450929,J0103+4509,15.782915,45.158058,J01030790+450929,L0,16069.12,0,204,L0,L0,L1,M9,2007AJ....133..439C,18,42.625,0.223,2020yCat.1350....0G,13.69,12.94,12.44,11.84
SIMP J01031050+1940463,J0103+1940,15.79375,19.67952778,J01031050+1940463,M8,1212.06,0,23,M8,M8,M8,L0.0,2016ApJ...830..144R,19,,,,16.56,16.5,15.96,
SDSS J010311.51-004417.0,J0103-0044,15.797957,-0.73805559,J01031151-0044170,M8,11042.01,0,123,M8,M8,M8,M9V,2014ApJ...794..143B,2,27.941,0.337,2020yCat.1350....0G,14.29,13.62,13.17,11.52
2MASSI J0104075-005328,J0104-0053,16.03125,-0.89119446,J01040750-0053283,L2beta,3836.93,2,29,L2beta,L5,L3,L5.0,2014ApJ...794..143B,2,,,,16.53,15.64,15.33,
2MASS J01045111-3327380,J0104-3327,16.212959,-33.460556,J01045111-3327380,M8,7054.35,0,27,M8,M8beta,M8,M8V,2004AJ....127.2856B,12,10.526,0.918,2020yCat.1350....0G,15.96,15.77,14.82,11.07
SDSS J01071600-1517570,J0107-1517,16.816668,-15.299167,J01071600-1517570,M8beta,14325.91,2,197,M8beta,M8beta,M8beta,M7.2V,2014ApJ...794..143B,2,20.614,0.207,2020yCat.1350....0G,13.34,12.71,12.28,9.91
WISE J01073875-1314137,J0107-1314,16.91145833,-13.23696389,J01073875-1314137,L2gamma,686.61,1,7,L2gamma,L2gamma,L2gamma,L7:,2017AJ....153..196S,29,,,,16.71,15.58,14.62,
SDSSp J010752.33+004156.1,J0107+0041,16.968416,0.69897223,J01075242+0041563,L7,24981.87,0,90,L6beta,L6beta,L6beta,L8,2014ApJ...794..143B,2,64.13,4.51,2012ApJ...752...56F,15.82,14.51,13.71,14.86
SDSS J01084048+1347392,J0108+1347,17.168667,13.794223,J01084048+1347392,M9gamma,3818.85,1,50,M9gamma,M8,M8,M9V,2014ApJ...794..143B,2,,,,16.29,15.72,14.62,
2MASS J01090751+0625590,J0109+0625,17.281292,6.4330554,J01090751+0625590,L1,9095.76,0,119,L1,L1,L1,,2016A&A...589A..49S,8,30.868,0.409,2020yCat.1350....0G,14.61,13.78,13.35,12.05
SSSPM J0109-4955,J0109-4954,17.28825,-49.91478056,J010909182-49545321,M8beta,3733.67,2,81,M8beta,M8,M8,M8,2009AJ....137....1F,36,29.831,0.129,2020yCat.1350....0G,13.55,12.88,12.45,10.92
2MASS J01092170+2949255,J0109+2949,17.34041667,29.82376667,J010921702+29492556,L0,24100.85,0,158,L0,L0,L1,M9.5,2008AJ....136.1290R,37,63.008,0.174,2020yCat.1350....0G,12.91,12.16,11.68,11.91
2MASS J01151621+3130061,J0115+3130,18.817541,31.501694,J01151621+3130061,M7,12009.04,0,40,M7,d/sdM8,d/sdM9,M8.5Ve,2004AJ....127.2856B,12,12.259,0.787,2020yCat.1350....0G,15.89,15.67,15.01,11.33
LSPM J0115+2110,J0115+2110,18.939083,21.176306,J01154538+2110347,d/sdM4,2084.19,-1,59,d/sdM4,sdM4,sdM4,,2005AJ....129.1483L,16,3.647,0.199,2020yCat.1350....0G,15.87,15.26,15.32,8.68
WISE J01163905-1654205,J0116-1654,19.16270833,-16.90556944,J01163905-1654205,M7,10302.47,0,37,M7,d/sdM8,d/sdM9,d/sdM8.5,2016ApJ...817..112S,11,16.133,0.529,2020yCat.1350....0G,15.81,15.33,14.97,11.85
2MASS J01165457-1357342,J0116-1357,19.227375,-13.959499,J01165457-1357342,M9,3135.11,0,65,M9,M9,M9,M8.8V,2014ApJ...794..143B,2,19.042,0.291,2020yCat.1350....0G,14.21,13.51,12.97,10.61
2MASS J01165802+4333081,J0116+4333,19.24304167,43.55361389,J01165802+4333081,L6,6579.12,0,46,L6,L3,L3,L6,2017AJ....154..112K,10,,,,16.88,15.76,14.89,
2MASSI J0117474-340325,J0117-3403,19.447832,-34.057167,J01174748-3403258,L2,3282.42,0,62,L2,L1gamma,L1gamma,L1gamma,2008ApJ...681..579B,38,25.397,0.703,2020yCat.1350....0G,15.18,14.21,13.49,12.2
2MASS J01183399+1810542,J0118+1810,19.64220833,18.18250278,J01183399+1810542,L5,4559.6,0,51,L5,L3,L3,,2017AJ....154..112K,10,,,,16.14,15.16,14.6,
2MUCD 10076,J0120-0741,20.20483333,-7.684336111,J012049161-07410361,M8,25285.67,0,251,M8,M8,M8,M8e,2009AJ....137....1F,36,36.661,0.178,2020yCat.1350....0G,12.99,12.29,11.85,10.81
2MASS J01205253+1518277,J0120+1518,20.218875,15.30769722,J012052533+15182771,M9gamma,1604.41,1,41,M9gamma,M9gamma,M9gamma,L0.0,2016ApJ...830..144R,19,,,,16.39,15.44,14.57,
